,Date,Weekly_Sales,Weekly Sales Rate of Change
0,2010-02-05,1105572.0,
1,2010-02-12,1074148.0,-2.842329581429337
2,2010-02-19,1072822.0,-0.12344667587707026
3,2010-02-26,977079.0,-8.924406844751509
4,2010-03-05,1041588.0,6.602229707116836
5,2010-03-12,1020564.0,-2.018456433829885
6,2010-03-19,999755.0,-2.0389706084086856
7,2010-03-26,980755.0,-1.9004656140754528
8,2010-04-02,1120530.0,14.251775417917823
9,2010-04-09,1052562.0,-6.0657010521806605
10,2010-04-16,1004081.0,-4.6059994565640805
11,2010-04-23,994099.0,-0.9941429028136217
12,2010-04-30,971225.0,-2.3009780716005124
13,2010-05-07,1077850.0,10.978403562511252
14,2010-05-14,1007335.0,-6.542190471772513
15,2010-05-21,1002669.0,-0.46320241032029585
16,2010-05-28,1061278.0,5.845298897243256
17,2010-06-04,1115301.0,5.090372173926161
18,2010-06-11,1062812.0,-4.7062631522790666
19,2010-06-18,1058268.0,-0.42754504089151935
20,2010-06-25,1035756.0,-2.1272494302010503
21,2010-07-02,1087055.0,4.952807417963312
22,2010-07-09,1064434.0,-2.080943466521934
23,2010-07-16,1027642.0,-3.45648485486183
24,2010-07-23,997530.0,-2.930203319833169
25,2010-07-30,991786.0,-0.5758222810341551
26,2010-08-06,1071222.0,8.009389122250155
27,2010-08-13,1032543.0,-3.6107361499297053
28,2010-08-20,1045799.0,1.283820625387988
29,2010-08-27,1020216.0,-2.4462635745492234
30,2010-09-03,1048761.0,2.7979369074784266
31,2010-09-10,1014098.0,-3.305138158264853
32,2010-09-17,957349.0,-5.596007486455945
33,2010-09-24,919078.0,-3.997601710556964
34,2010-10-01,938664.0,2.1310487249178056
35,2010-10-08,1002288.0,6.778144256091645
36,2010-10-15,958877.0,-4.3311902367383475
37,2010-10-22,957037.0,-0.19189113932235324
38,2010-10-29,968952.0,1.244988438273542
39,2010-11-05,1017377.0,4.997667583120724
40,2010-11-12,1024996.0,0.7488865975936232
41,2010-11-19,1002791.0,-2.166349917463095
42,2010-11-26,1462689.0,45.86179971698987
43,2010-12-03,1109090.0,-24.174585301455064
44,2010-12-10,1237039.0,11.536394701962859
45,2010-12-17,1373796.0,11.055189044161096
46,2010-12-24,1798476.0,30.912886629455905
47,2010-12-31,898500.0,-50.041034742748856
48,2011-01-07,950573.0,5.7955481357818694
49,2011-01-14,903860.0,-4.914193859913962
50,2011-01-21,903437.0,-0.04679928307481651
51,2011-01-28,879997.0,-2.5945361989823335
52,2011-02-04,1025625.0,16.548692779634465
53,2011-02-11,1051915.0,2.5633150517976766
54,2011-02-18,1082581.0,2.9152545595414026
55,2011-02-25,980575.0,-9.422482012893262
56,2011-03-04,1044013.0,6.4694694439487055
57,2011-03-11,991718.0,-5.0090372437891055
58,2011-03-18,997163.0,0.5490472089848097
59,2011-03-25,952804.0,-4.448520452523807
60,2011-04-01,965755.0,1.3592512206078045
61,2011-04-08,1019721.0,5.587959679214705
62,2011-04-15,999407.0,-1.992113529092765
63,2011-04-22,1081704.0,8.23458310778291
64,2011-04-29,967334.0,-10.573132760903171
65,2011-05-06,1041377.0,7.65433655800376
66,2011-05-13,1009914.0,-3.021288159811475
67,2011-05-20,978813.0,-3.079569151432693
68,2011-05-27,1006521.0,2.830775643560113
69,2011-06-03,1083822.0,7.680018598717764
70,2011-06-10,1059327.0,-2.2600574633103943
71,2011-06-17,1054390.0,-0.4660506151547117
72,2011-06-24,1019647.0,-3.2950805679113016
73,2011-07-01,1057300.0,3.6927485688674544
74,2011-07-08,1063539.0,0.5900879598978559
75,2011-07-15,1011465.0,-4.896294353098474
76,2011-07-22,1006098.0,-0.5306164820334858
77,2011-07-29,970739.0,-3.5144687694439347
78,2011-08-05,1067010.0,9.917289817345342
79,2011-08-12,1027768.0,-3.677753723020405
80,2011-08-19,1042608.0,1.4439056285076024
81,2011-08-26,1053710.0,1.0648297346653735
82,2011-09-02,1008369.0,-4.3029865902383
83,2011-09-09,1039183.0,3.0558257939306
84,2011-09-16,973199.0,-6.349603486585131
85,2011-09-23,949291.0,-2.456640419893563
86,2011-09-30,937685.0,-1.2225966537131372
87,2011-10-07,1049149.0,11.88714760287304
88,2011-10-14,986107.0,-6.008870046104031
89,2011-10-21,1018199.0,3.2544135676960018
90,2011-10-28,1019018.0,0.08043614264008347
91,2011-11-04,1081234.0,6.105485869729477
92,2011-11-11,1077205.0,-0.3726297915159882
93,2011-11-18,1031977.0,-4.198643712199623
94,2011-11-25,1479858.0,43.40028895992838
95,2011-12-02,1097568.0,-25.832883965894027
96,2011-12-09,1234692.0,12.493440041983739
97,2011-12-16,1335238.0,8.143407424685666
98,2011-12-23,1711072.0,28.147341522634918
99,2011-12-30,1023166.0,-40.20321763198743
100,2012-01-06,999009.0,-2.3610049591170967
101,2012-01-13,933846.0,-6.52276405918265
102,2012-01-20,935133.0,0.13781715614780143
103,2012-01-27,885222.0,-5.3373156545646445
104,2012-02-03,1024125.0,15.691318110033414
105,2012-02-10,1111320.0,8.51409740021969
106,2012-02-17,1115490.0,0.37522945686210285
107,2012-02-24,1017145.0,-8.816304942222697
108,2012-03-02,1041356.0,2.380289929164481
109,2012-03-09,1055121.0,1.3218342238389136
110,2012-03-16,1042256.0,-1.2192914367167407
111,2012-03-23,999862.0,-4.067522758324249
112,2012-03-30,1006064.0,0.6202855994127177
113,2012-04-06,1188940.0,18.177372413683422
114,2012-04-13,1036206.0,-12.846232778777733
115,2012-04-20,1001612.0,-3.338525351136745
116,2012-04-27,971484.0,-3.0079511826935024
117,2012-05-04,1047204.0,7.794261150981385
118,2012-05-11,1042797.0,-0.42083490895756803
119,2012-05-18,1040532.0,-0.21720430726210882
120,2012-05-25,1064277.0,2.2820057432159757
121,2012-06-01,1072926.0,0.8126643721512394
122,2012-06-08,1103359.0,2.836449112054318
123,2012-06-15,1075825.0,-2.4954706491722045
124,2012-06-22,1059295.0,-1.5364952478330585
125,2012-06-29,1035491.0,-2.2471549473942587
126,2012-07-06,1138956.0,9.991878249062513
127,2012-07-13,1024438.0,-10.054646535950463
128,2012-07-20,1023545.0,-0.0871697457532794
129,2012-07-27,979937.0,-4.260486837413113
130,2012-08-03,1055242.0,7.684677688463637
